baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id
16722.2877013473	7.89976331100585	0.407988241736153	19.3627229975776	1.5924138154158e-83	9.29332702676663e-80	gene-YER062C
10083.7727512488	7.87393099780163	0.411274523449012	19.145195116317	1.06140289457857e-81	3.09717364638026e-78	gene-YDR536W
8491.68394270692	7.88132621654225	0.431801324947494	18.2522048015962	1.98724661556339e-74	3.86585708280932e-71	gene-YHR094C
2108.72978763742	7.78513099056408	0.46674331441413	16.6796839936234	1.84190664513385e-62	2.68734179525028e-59	gene-YNL065W
1726.50475758766	7.26915816003205	0.482283278358322	15.0723827389912	2.46075724205216e-51	2.87219585292328e-48	gene-YKL120W
1291.14750462885	6.49505896439914	0.432384592764662	15.021485670592	5.31040062874275e-51	5.16435906629053e-48	gene-YJL122W
1387.97957942017	6.48380909415248	0.431929228614248	15.0112765347101	6.19439915422099e-51	5.16435906629053e-48	gene-YLR264W
8018.15131248875	6.76739332333621	0.45146332988562	14.9899069876855	8.547283931262e-51	6.23524362785563e-48	gene-YGR159C
5326.83338186053	7.36397913326203	0.49317425885805	14.9317994623511	2.0466752555142e-50	1.3271551990201e-47	gene-YNL112W
1051.90868925687	6.84422038058122	0.472541007924489	14.4838654546462	1.53231878064629e-47	8.94261240385174e-45	gene-YOR271C
954.754489577026	5.99578760195732	0.427797304481714	14.0154870990161	1.25335372180305e-44	6.64961120040237e-42	gene-YJL108C
845.167199443989	6.17188989909993	0.442887585764514	13.935567619142	3.85126338601545e-44	1.87299776006551e-41	gene-YJL107C
1922.34123812615	5.65863163461852	0.406730433322308	13.9124864308701	5.31974469817517e-44	2.38815615835002e-41	gene-YOR360C
593.848915354102	7.80419876985622	0.562725316860717	13.8685759037706	9.82072644501361e-44	4.09383996664996e-41	gene-YOL124C
1161.50384384288	5.70905039954215	0.416236931803086	13.7158670058692	8.1585273936901e-43	3.1742110579717e-40	gene-YOL136C
730.574484969922	5.98052612787219	0.441075837872591	13.5589520312825	7.01308829789921e-42	2.55802395665874e-39	gene-YER127W
1930.68183773854	6.78087765112307	0.503743397530894	13.4609757355821	2.65388363502759e-41	9.11062640824764e-39	gene-YLR180W
2899.57078063068	6.47306492967768	0.4819421262065	13.4312079764203	3.96884109020309e-41	1.22014327077653e-38	gene-YNL141W
700.732219979521	5.89470241671155	0.438883179328455	13.4311422591569	3.97236500081461e-41	1.22014327077653e-38	gene-YCR072C
521.960783675712	6.41370567616203	0.481843539039941	13.3107640893995	2.00421492040832e-40	5.84829913775147e-38	gene-YML043C
1596.01774773466	5.81473859502696	0.439424005489032	13.2326375491384	5.68565416275103e-40	1.58007036637214e-37	gene-YMR300C
2037.52251648377	5.36767137260352	0.409412627905116	13.1106639286356	2.86082945068113e-39	7.58900030644321e-37	gene-YEL026W
477.733284010063	6.35677822673895	0.486140280309561	13.0760162944966	4.51489104630536e-39	1.14560452809731e-36	gene-YOR359W
